Date Time,co2
1973/9/1,327.5
1973/10/1,327.225
1973/11/1,328.05
1973/12/1,328.64
1974/1/1,329.325
1974/2/1,330.625
1974/3/1,331.5
1974/4/1,332.625
1974/5/1,332.975
1974/6/1,332.16
1974/7/1,331.075
1974/8/1,329.22
1974/9/1,327.375
1974/10/1,327.375
1974/11/1,328.4
1974/12/1,329.675
1975/1/1,330.25
1975/2/1,331.3
1975/3/1,332
1975/4/1,333.275
1975/5/1,333.86
1975/6/1,333.4
1975/7/1,331.8
1975/8/1,329.98
1975/9/1,328.525
1975/10/1,328.325
1975/11/1,329.44
1975/12/1,330.775
1976/1/1,331.74
1976/2/1,332.55
1976/3/1,333.45
1976/4/1,334.45
1976/5/1,334.76
1976/6/1,334.4
1976/7/1,332.86
1976/8/1,330.725
1976/9/1,329.35
1976/10/1,329.1
1976/11/1,330.35
1976/12/1,331.625
1977/1/1,332.88
1977/2/1,333.425
1977/3/1,334.7
1977/4/1,336.04
1977/5/1,336.675
1977/6/1,336.2
1977/7/1,334.8
1977/8/1,332.875
1977/9/1,331.575
1977/10/1,331.2
1977/11/1,332.35
1977/12/1,333.86
1978/1/1,335.025
1978/2/1,335.35
1978/3/1,336.6
1978/4/1,337.64
1978/5/1,337.95
1978/6/1,337.925
1978/7/1,336.5
1978/8/1,334.65
1978/9/1,332.74
1978/10/1,332.65
1978/11/1,333.825
1978/12/1,334.96
1979/1/1,336.225
1979/2/1,336.7
1979/3/1,338
1979/4/1,338.875
1979/5/1,339.375
1979/6/1,339.24
1979/7/1,337.525
1979/8/1,336.025
1979/9/1,333.98
1979/10/1,333.95
1979/11/1,335.15
1979/12/1,336.66
1980/1/1,337.925
1980/2/1,338.225
1980/3/1,340.06
1980/4/1,340.75
1980/5/1,341.34
1980/6/1,340.95
1980/7/1,339.375
1980/8/1,337.6
1980/9/1,335.875
1980/10/1,336.025
1980/11/1,337.06
1980/12/1,338.2
1981/1/1,339.22
1981/2/1,340.45
1981/3/1,341.4
1981/4/1,342.45
1981/5/1,342.82
1981/6/1,342.125
1981/7/1,340.425
1981/8/1,338.4
1981/9/1,336.7
1981/10/1,336.94
1981/11/1,338.425
1981/12/1,339.6
1982/1/1,340.7
1982/2/1,341.55
1982/3/1,342.675
1982/4/1,343.475
1982/5/1,343.96
1982/6/1,343.3
1982/7/1,341.92
1982/8/1,339.625
1982/9/1,338.025
1982/10/1,337.9
1982/11/1,339.275
1982/12/1,340.425
1983/1/1,341.34
1983/2/1,342.5
1983/3/1,343.15
1983/4/1,344.9
1983/5/1,345.65
1983/6/1,345.275
1983/7/1,343.82
1983/8/1,342.15
1983/9/1,339.875
1983/10/1,340.02
1983/11/1,341.15
1983/12/1,342.98
1984/1/1,343.675
1984/2/1,344.425
1984/3/1,345.175
1984/4/1,347.4
1984/5/1,347.35
1984/6/1,346.66
1984/7/1,345.2
1984/8/1,343.3
1984/9/1,341.12
1984/10/1,341.475
1984/11/1,342.85
1984/12/1,344.14
1985/1/1,344.925
1985/2/1,345.875
1985/3/1,347.44
1985/4/1,348.325
1985/5/1,348.825
1985/6/1,348.18
1985/7/1,346.45
1985/8/1,344.3
1985/9/1,343
1985/10/1,342.8
1985/11/1,344.22
1985/12/1,345.575
1986/1/1,346.25
1986/2/1,346.825
1986/3/1,347.74
1986/4/1,349.525
1986/5/1,350.08
1986/6/1,349.375
1986/7/1,347.825
1986/8/1,345.82
1986/9/1,344.8
1986/10/1,344.1
1986/11/1,345.62
1986/12/1,346.875
1987/1/1,348
1987/2/1,348.5
1987/3/1,349.475
1987/4/1,350.85
1987/5/1,351.74
1987/6/1,351.15
1987/7/1,349.45
1987/8/1,348.08
1987/9/1,346.4
1987/10/1,346.44
1987/11/1,347.925
1987/12/1,348.925
1988/1/1,350.4
1988/2/1,351.775
1988/3/1,352.125
1988/4/1,353.58
1988/5/1,354.175
1988/6/1,353.75
1988/7/1,352.22
1988/8/1,350.3
1988/9/1,348.75
1988/10/1,348.96
1988/11/1,350
1988/12/1,351.36
1989/1/1,352.775
1989/2/1,353
1989/3/1,353.6
1989/4/1,355.36
1989/5/1,355.6
1989/6/1,355.125
1989/7/1,353.86
1989/8/1,351.575
1989/9/1,349.86
1989/10/1,350.05
1989/11/1,351.2
1989/12/1,352.48
1990/1/1,353.65
1990/2/1,354.65
1990/3/1,355.48
1990/4/1,356.175
1990/5/1,357.075
1990/6/1,356.08
1990/7/1,354.675
1990/8/1,352.9
1990/9/1,350.94
1990/10/1,351.225
1990/11/1,352.7
1990/12/1,354.14
1991/1/1,354.675
1991/2/1,355.65
1991/3/1,357.2
1991/4/1,358.6
1991/5/1,359.25
1991/6/1,358.18
1991/7/1,356.05
1991/8/1,353.86
1991/9/1,352.125
1991/10/1,352.25
1991/11/1,353.74
1991/12/1,355.025
1992/1/1,355.9
1992/2/1,356.68
1992/3/1,357.9
1992/4/1,359.075
1992/5/1,359.54
1992/6/1,359.125
1992/7/1,357
1992/8/1,354.86
1992/9/1,353.025
1992/10/1,353.42
1992/11/1,354.2
1992/12/1,355.35
1993/1/1,356.68
1993/2/1,357.175
1993/3/1,358.425
1993/4/1,359.325
1993/5/1,360.18
1993/6/1,359.5
1993/7/1,357.42
1993/8/1,355.325
1993/9/1,353.775
1993/10/1,354.06
1993/11/1,355.35
1993/12/1,356.775
1994/1/1,358.32
1994/2/1,358.9
1994/3/1,359.925
1994/4/1,361.22
1994/5/1,361.65
1994/6/1,360.9
1994/7/1,359.46
1994/8/1,357.375
1994/9/1,355.925
1994/10/1,356.02
1994/11/1,357.575
1994/12/1,359.06
1995/1/1,359.975
1995/2/1,360.925
1995/3/1,361.575
1995/4/1,363.36
1995/5/1,363.7
1995/6/1,363.25
1995/7/1,361.8
1995/8/1,359.375
1995/9/1,358
1995/10/1,357.85
1995/11/1,359.475
1995/12/1,360.7
1996/1/1,362.025
1996/2/1,363.175
1996/3/1,364.06
1996/4/1,364.7
1996/5/1,365.325
1996/6/1,364.88
1996/7/1,363.475
1996/8/1,361.32
1996/9/1,359.4
1996/10/1,359.625
1996/11/1,360.74
1996/12/1,362.375
1997/1/1,363.125
1997/2/1,363.875
1997/3/1,364.56
1997/4/1,366.325
1997/5/1,366.68
1997/6/1,365.475
1997/7/1,364.375
1997/8/1,362.46
1997/9/1,360.15
1997/10/1,360.75
1997/11/1,362.38
1997/12/1,364.25
1998/1/1,365.34
1998/2/1,366.2
1998/3/1,367.375
1998/4/1,368.525
1998/5/1,369.14
1998/6/1,368.75
1998/7/1,367.6
1998/8/1,365.72
1998/9/1,363.925
1998/10/1,364.32
1998/11/1,365.55
1998/12/1,366.925
1999/1/1,368.12
1999/2/1,368.85
1999/3/1,369.6
1999/4/1,370.975
1999/5/1,370.84
1999/6/1,370.25
1999/7/1,369
1999/8/1,366.7
1999/9/1,364.675
1999/10/1,365.14
1999/11/1,366.65
1999/12/1,367.9
2000/1/1,369.02
2000/2/1,369.375
2000/3/1,370.4
2000/4/1,371.54
2000/5/1,371.65
2000/6/1,371.625
2000/7/1,369.94
2000/8/1,367.95
2000/9/1,366.54
2000/10/1,366.725
2000/11/1,368.125
2000/12/1,369.44
2001/1/1,370.175
2001/2/1,371.325
2001/3/1,372.06
2001/4/1,372.775
2001/5/1,373.8
2001/6/1,373.06
2001/7/1,371.3
2001/8/1,369.425
2001/9/1,367.88
2001/10/1,368.05
2001/11/1,369.375
2001/12/1,371.02
